Date,Predicted,RegimeCode
2017-12-21,41.69829,1
2017-12-22,41.75019,1
2017-12-26,41.782074,1
2017-12-27,41.22664,1
2017-12-28,40.93635,1
2017-12-29,40.88102,1
2018-01-02,40.633358,1
2018-01-03,40.894703,1
2018-01-04,41.044,1
2018-01-05,41.207928,1
2018-01-08,41.536884,1
2018-01-09,41.61604,1
2018-01-10,41.63402,1
2018-01-11,41.633476,1
2018-01-12,41.75919,1
2018-01-16,42.05759,1
2018-01-17,42.091297,1
2018-01-18,42.46297,1
2018-01-19,42.677067,1
2018-01-22,42.663456,1
2018-01-23,42.455708,1
2018-01-24,42.352776,1
2018-01-25,41.95086,1
2018-01-26,41.34757,1
2018-01-29,41.10731,0
2018-01-30,40.564552,0
2018-01-31,40.1671,0
2018-02-01,40.05134,0
2018-02-02,40.060246,-1
2018-02-05,39.138554,-1
2018-02-06,38.13827,-1
2018-02-07,38.508907,0
2018-02-08,38.32054,0
2018-02-09,37.633842,0
2018-02-12,37.52693,0
2018-02-13,38.325153,0
2018-02-14,38.96142,0
2018-02-15,39.634216,0
2018-02-16,40.670418,0
2018-02-20,41.100487,-1
2018-02-21,41.18598,-1
2018-02-22,41.10383,-1
2018-02-23,41.24023,-1
2018-02-26,41.70431,-1
2018-02-27,42.386936,-1
2018-02-28,42.641983,-1
2018-03-01,42.697964,-1
2018-03-02,42.310112,-1
2018-03-05,42.258896,-1
2018-03-06,42.336006,-1
2018-03-07,42.360855,-1
2018-03-08,42.15799,-1
2018-03-09,42.29553,-1
2018-03-12,42.772213,-1
2018-03-13,43.238018,-1
2018-03-14,43.22711,0
2018-03-15,42.99466,0
2018-03-16,42.900505,-1
2018-03-19,42.78523,-1
2018-03-20,42.38081,-1
2018-03-21,42.16783,-1
2018-03-22,41.570847,-1
2018-03-23,40.95882,-1
2018-03-26,40.171703,-1
2018-03-27,40.80412,-1
2018-03-28,40.61679,-1
2018-03-29,40.23721,-1
2018-04-02,40.21623,-1
2018-04-03,40.087666,-1
2018-04-04,40.241047,-1
2018-04-05,40.74412,-1
2018-04-06,41.15182,-1
2018-04-09,40.76491,-1
2018-04-10,40.750084,-1
2018-04-11,41.17936,-1
2018-04-12,41.30214,-1
2018-04-13,41.557987,-1
2018-04-16,41.76081,-1
2018-04-17,41.991573,-1
2018-04-18,42.411694,-1
2018-04-19,42.5667,0
2018-04-20,41.97294,-1
2018-04-23,40.73988,-1
2018-04-24,40.067997,-1
2018-04-25,39.497982,-1
2018-04-26,39.332214,-1
2018-04-27,39.35424,-1
2018-04-30,39.131004,-1
2018-05-01,39.38955,0
2018-05-02,40.03354,-1
2018-05-03,41.316666,0
2018-05-04,41.991203,-1
2018-05-07,43.15669,-1
2018-05-08,43.898155,-1
2018-05-09,44.32866,-1
2018-05-10,44.677288,-1
2018-05-11,45.179295,-1
2018-05-14,45.329216,-1
2018-05-15,45.32013,-1
2018-05-16,45.085896,-1
2018-05-17,45.188984,-1
2018-05-18,45.10516,-1
2018-05-21,44.966953,-1
2018-05-22,45.070408,-1
2018-05-23,45.07307,-1
2018-05-24,45.222836,-1
2018-05-25,45.27429,-1
2018-05-29,45.347256,-1
2018-05-30,45.294533,-1
2018-05-31,45.21054,-1
2018-06-01,45.088467,-1
2018-06-04,45.46513,-1
2018-06-05,45.876442,-1
2018-06-06,46.259636,-1
2018-06-07,46.521282,-1
2018-06-08,46.567295,0
2018-06-11,46.347725,0
2018-06-12,46.169125,0
2018-06-13,46.2254,0
2018-06-14,46.062595,0
2018-06-15,45.986355,-1
2018-06-18,45.70353,-1
2018-06-19,45.546738,-1
2018-06-20,45.088333,-1
2018-06-21,44.961807,-1
2018-06-22,44.790127,-1
2018-06-25,44.63783,-1
2018-06-26,44.21309,-1
2018-06-27,44.29108,-1
2018-06-28,44.324154,-1
2018-06-29,44.509212,-1
2018-07-02,44.55366,-1
2018-07-03,44.83231,-1
2018-07-05,44.55475,-1
2018-07-06,44.582073,-1
2018-07-09,44.94643,-1
2018-07-10,45.473522,-1
2018-07-11,45.697556,-1
2018-07-12,45.4625,-1
2018-07-13,45.731796,-1
2018-07-16,45.927696,-1
2018-07-17,45.959446,-1
2018-07-18,46.033577,-1
2018-07-19,45.935165,-1
2018-07-20,46.070114,-1
2018-07-23,46.090767,-1
2018-07-24,46.115044,-1
2018-07-25,46.30616,-1
2018-07-26,46.6403,-1
2018-07-27,46.724968,-1
2018-07-30,46.330864,-1
2018-07-31,45.980286,-1
2018-08-01,45.870636,0
2018-08-02,47.283733,0
2018-08-03,48.794373,1
2018-08-06,49.574814,1
2018-08-07,50.027756,1
2018-08-08,49.96352,1
2018-08-09,49.92019,1
2018-08-10,50.113476,1
2018-08-13,50.138515,1
2018-08-14,50.3137,1
2018-08-15,50.51874,1
2018-08-16,50.67913,1
2018-08-17,51.149784,1
2018-08-20,51.93924,1
2018-08-21,52.049297,1
2018-08-22,52.002495,1
2018-08-23,51.972855,1
2018-08-24,52.018005,1
2018-08-27,52.130985,1
2018-08-28,52.4185,1
2018-08-29,52.79061,1
2018-08-30,53.392925,1
2018-08-31,53.951347,1
2018-09-04,54.543335,1
2018-09-05,54.913578,1
2018-09-06,54.87772,1
2018-09-07,54.3475,1
2018-09-10,53.83901,1
2018-09-11,53.221725,1
2018-09-12,53.645813,1
2018-09-13,53.54763,1
2018-09-14,54.160522,1
2018-09-17,54.155235,1
2018-09-18,53.340565,1
2018-09-19,52.959843,1
2018-09-20,52.829082,1
2018-09-21,52.999786,1
2018-09-24,52.790264,1
2018-09-25,53.074516,1
2018-09-26,53.418346,1
2018-09-27,53.351048,1
2018-09-28,53.880714,1
2018-10-01,54.26564,1
2018-10-02,54.630985,1
2018-10-03,55.06027,1
2018-10-04,55.62429,1
2018-10-05,55.36475,1
2018-10-08,54.71356,1
2018-10-09,54.32165,1
2018-10-10,54.55986,1
2018-10-11,53.34803,1
2018-10-12,52.448647,1
2018-10-15,53.04645,1
2018-10-16,52.801823,1
2018-10-17,53.254906,1
2018-10-18,53.383404,1
2018-10-19,52.751293,1
2018-10-22,52.83732,1
2018-10-23,53.096664,1
2018-10-24,53.496773,1
2018-10-25,52.699913,1
2018-10-26,52.86622,1
2018-10-29,52.55113,1
2018-10-30,51.84869,1
2018-10-31,51.637196,1
2018-11-01,52.291527,1
2018-11-02,53.083775,1
2018-11-05,51.546894,1
2018-11-06,49.92522,1
2018-11-07,49.454536,-1
2018-11-08,50.112034,-1
2018-11-09,50.39181,-1
2018-11-12,49.97249,-1
2018-11-13,48.393585,-1
2018-11-14,47.33801,-1
2018-11-15,46.17783,0
2018-11-16,46.234528,0
2018-11-19,46.61339,0
2018-11-20,45.809555,0
2018-11-21,44.20601,0
2018-11-23,43.3875,0
2018-11-26,42.475174,0
2018-11-27,42.3498,-1
2018-11-28,42.291656,-1
